"category","thresholdSensitivity","categoryType","alias","feedExpirationDate","feedIsStale","numberOfFollowers","previousInterestRank"
"Baciguent",0.35,"Therapy","[u'Bacitracin']","2010-12-13T00:00:00",FALSE,0,1000
"Baciim",0.35,"Therapy","[u'Bacitracin']","2010-12-13T00:00:00",FALSE,0,1000
"Gablofen",0.35,"Therapy","[u'Baclofen']","2010-12-13T00:00:00",FALSE,0,1000
"Kemstro",0.35,"Therapy","[u'Baclofen']","2010-12-13T00:00:00",FALSE,0,1000
"Lioresal",0.35,"Therapy","[u'Baclofen']","2010-12-13T00:00:00",FALSE,0,1000
"Colazal",0.35,"Therapy","[u'Balsalazide Disodium']","2010-12-13T00:00:00",FALSE,0,1000
"Simulect",0.35,"Therapy","[u'Basiliximab']","2010-12-13T00:00:00",FALSE,0,1000
"Regranex",0.35,"Therapy","[u'Becaplermin']","2010-12-13T00:00:00",FALSE,0,1000
"Beconase Aq",0.35,"Therapy","[u'Beclomethasone Dipropionate Monohydrate']","2010-12-13T00:00:00",FALSE,0,1000
"Vancenase Aq",0.35,"Therapy","[u'Beclomethasone Dipropionate Monohydrate']","2010-12-13T00:00:00",FALSE,0,1000
"Beclovent",0.35,"Therapy","[u'Beclomethasone Dipropionate']","2010-12-13T00:00:00",FALSE,0,1000
"Beconase",0.35,"Therapy","[u'Beclomethasone Dipropionate']","2010-12-13T00:00:00",FALSE,0,1000
"Qvar 40",0.35,"Therapy","[u'Beclomethasone Dipropionate']","2010-12-13T00:00:00",FALSE,0,1000
"Qvar 80",0.35,"Therapy","[u'Beclomethasone Dipropionate']","2010-12-13T00:00:00",FALSE,0,1000
"Vancenase",0.35,"Therapy","[u'Beclomethasone Dipropionate']","2010-12-13T00:00:00",FALSE,0,1000
"Vanceril",0.35,"Therapy","[u'Beclomethasone Dipropionate']","2010-12-13T00:00:00",FALSE,0,1000
"Vanceril Double Strength",0.35,"Therapy","[u'Beclomethasone Dipropionate']","2010-12-13T00:00:00",FALSE,0,1000
"Benazepril Hydrochloride And Hydrochlorothiazide",0.35,"Therapy","[u'Benazepril Hydrochloride; Hydrochlorothiazide']","2010-12-13T00:00:00",FALSE,0,1000
"Lotensin Hct",0.35,"Therapy","[u'Benazepril Hydrochloride; Hydrochlorothiazide']","2010-12-13T00:00:00",FALSE,0,1000
"Lotensin",0.35,"Therapy","[u'Benazepril Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Treanda",0.35,"Therapy","[u'Bendamustine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Corzide",0.35,"Therapy","[u'Bendroflumethiazide; Nadolol']","2010-12-13T00:00:00",FALSE,0,1000
"Nadolol And Bendroflumethazide",0.35,"Therapy","[u'Bendroflumethiazide; Nadolol']","2010-12-13T00:00:00",FALSE,0,1000
"Nadolol And Bendroflumethiazide",0.35,"Therapy","[u'Bendroflumethiazide; Nadolol']","2010-12-13T00:00:00",FALSE,0,1000
"Naturetin-10",0.35,"Therapy","[u'Bendroflumethiazide']","2010-12-13T00:00:00",FALSE,0,1000
"Naturetin-2.5",0.35,"Therapy","[u'Bendroflumethiazide']","2010-12-13T00:00:00",FALSE,0,1000
"Naturetin-5",0.35,"Therapy","[u'Bendroflumethiazide']","2010-12-13T00:00:00",FALSE,0,1000
"Chymex",0.35,"Therapy","[u'Bentiromide']","2010-12-13T00:00:00",FALSE,0,1000
"Ivy Block",0.35,"Therapy","[u'Bentoquatam']","2010-12-13T00:00:00",FALSE,0,1000
"Tessalon",0.35,"Therapy","[u'Benzonatate']","2010-12-13T00:00:00",FALSE,0,1000
"Acanya",0.35,"Therapy","[u'Benzoyl Peroxide; Clindamycin Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Benzaclin",0.35,"Therapy","[u'Benzoyl Peroxide; Clindamycin Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Clindamycin Phosphate And Benzoyl Peroxide",0.35,"Therapy","[u'Benzoyl Peroxide; Clindamycin Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Duac",0.35,"Therapy","[u'Benzoyl Peroxide; Clindamycin Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Benzamycin",0.35,"Therapy","[u'Benzoyl Peroxide; Erythromycin']","2010-12-13T00:00:00",FALSE,0,1000
"Benzamycin Pak",0.35,"Therapy","[u'Benzoyl Peroxide; Erythromycin']","2010-12-13T00:00:00",FALSE,0,1000
"Erythromycin And Benzoyl Peroxide",0.35,"Therapy","[u'Benzoyl Peroxide; Erythromycin']","2010-12-13T00:00:00",FALSE,0,1000
"Didrex",0.35,"Therapy","[u'Benzphetamine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Emete-Con",0.35,"Therapy","[u'Benzquinamide Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Aquatag",0.35,"Therapy","[u'Benzthiazide']","2010-12-13T00:00:00",FALSE,0,1000
"Exna",0.35,"Therapy","[u'Benzthiazide']","2010-12-13T00:00:00",FALSE,0,1000
"Fovane",0.35,"Therapy","[u'Benzthiazide']","2010-12-13T00:00:00",FALSE,0,1000
"Urese",0.35,"Therapy","[u'Benzthiazide']","2010-12-13T00:00:00",FALSE,0,1000
"Cogentin",0.35,"Therapy","[u'Benztropine Mesylate']","2010-12-13T00:00:00",FALSE,0,1000
"Ulesfia",0.35,"Therapy","[u'Benzyl Alcohol']","2010-12-13T00:00:00",FALSE,0,1000
"Pre-Pen",0.35,"Therapy","[u'Benzylpenicilloyl Polylysine']","2010-12-13T00:00:00",FALSE,0,1000
"Bepreve",0.35,"Therapy","[u'Bepotastine Besilate']","2010-12-13T00:00:00",FALSE,0,1000
"Bepadin",0.35,"Therapy","[u'Bepridil Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Vascor",0.35,"Therapy","[u'Bepridil Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Survanta",0.35,"Therapy","[u'Beractant']","2010-12-13T00:00:00",FALSE,0,1000
"Besivance",0.35,"Therapy","[u'Besifloxacin Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Solatene",0.35,"Therapy","[u'Beta Carotene']","2010-12-13T00:00:00",FALSE,0,1000
"Cystadane",0.35,"Therapy","[u'Betaine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Betamethasone Acetate And Betamethasone Sodium Phosphate",0.35,"Therapy","[u'Betamethasone Acetate; Betamethasone Sodium Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Celestone Soluspan",0.35,"Therapy","[u'Betamethasone Acetate; Betamethasone Sodium Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Uticort",0.35,"Therapy","[u'Betamethasone Benzoate']","2010-12-13T00:00:00",FALSE,0,1000
"Taclonex",0.35,"Therapy","[u'Betamethasone Dipropionate; Calcipotriene Hydrate']","2010-12-13T00:00:00",FALSE,0,1000
"Taclonex Scalp",0.35,"Therapy","[u'Betamethasone Dipropionate; Calcipotriene Hydrate']","2010-12-13T00:00:00",FALSE,0,1000
"Clotrimazole And Betamethasone Dipropionate",0.35,"Therapy","[u'Betamethasone Dipropionate; Clotrimazole']","2010-12-13T00:00:00",FALSE,0,1000
"Lotrisone",0.35,"Therapy","[u'Betamethasone Dipropionate; Clotrimazole']","2010-12-13T00:00:00",FALSE,0,1000
"Alphatrex",0.35,"Therapy","[u'Betamethasone Dipropionate']","2010-12-13T00:00:00",FALSE,0,1000
"Diprolene",0.35,"Therapy","[u'Betamethasone Dipropionate']","2010-12-13T00:00:00",FALSE,0,1000
"Diprolene Af",0.35,"Therapy","[u'Betamethasone Dipropionate']","2010-12-13T00:00:00",FALSE,0,1000
"Diprosone",0.35,"Therapy","[u'Betamethasone Dipropionate']","2010-12-13T00:00:00",FALSE,0,1000
"Celestone",0.35,"Therapy","[u'Betamethasone Sodium Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Beta-Val",0.35,"Therapy","[u'Betamethasone Valerate']","2010-12-13T00:00:00",FALSE,0,1000
"Betaderm",0.35,"Therapy","[u'Betamethasone Valerate']","2010-12-13T00:00:00",FALSE,0,1000
"Betatrex",0.35,"Therapy","[u'Betamethasone Valerate']","2010-12-13T00:00:00",FALSE,0,1000
"Dermabet",0.35,"Therapy","[u'Betamethasone Valerate']","2010-12-13T00:00:00",FALSE,0,1000
"Luxiq",0.35,"Therapy","[u'Betamethasone Valerate']","2010-12-13T00:00:00",FALSE,0,1000
"Valisone",0.35,"Therapy","[u'Betamethasone Valerate']","2010-12-13T00:00:00",FALSE,0,1000
"Valnac",0.35,"Therapy","[u'Betamethasone Valerate']","2010-12-13T00:00:00",FALSE,0,1000
"Kerledex",0.35,"Therapy","[u'Betaxolol Hydrochloride; Chlorthalidone']","2010-12-13T00:00:00",FALSE,0,1000
"Betoptic Pilo",0.35,"Therapy","[u'Betaxolol Hydrochloride; Pilocarpine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Betoptic",0.35,"Therapy","[u'Betaxolol Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Betoptic S",0.35,"Therapy","[u'Betaxolol Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Kerlone",0.35,"Therapy","[u'Betaxolol Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Histalog",0.35,"Therapy","[u'Betazole Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Duvoid",0.35,"Therapy","[u'Bethanechol Chloride']","2010-12-13T00:00:00",FALSE,0,1000
"Myotonachol",0.35,"Therapy","[u'Bethanechol Chloride']","2010-12-13T00:00:00",FALSE,0,1000
"Urecholine",0.35,"Therapy","[u'Bethanechol Chloride']","2010-12-13T00:00:00",FALSE,0,1000
"Tenathan",0.35,"Therapy","[u'Bethanidine Sulfate']","2010-12-13T00:00:00",FALSE,0,1000
"Avastin",0.35,"Therapy","[u'Bevacizumab']","2010-12-13T00:00:00",FALSE,0,1000
"Targretin",0.35,"Therapy","[u'Bexarotene']","2010-12-13T00:00:00",FALSE,0,1000
"Casodex",0.35,"Therapy","[u'Bicalutamide']","2010-12-13T00:00:00",FALSE,0,1000
"Latisse",0.35,"Therapy","[u'Bimatoprost']","2010-12-13T00:00:00",FALSE,0,1000
"Lumigan",0.35,"Therapy","[u'Bimatoprost']","2010-12-13T00:00:00",FALSE,0,1000
"Akineton",0.35,"Therapy","[u'Biperiden Lactate']","2010-12-13T00:00:00",FALSE,0,1000
"Halflytely",0.35,"Therapy","[u'Bisacodyl; Polyethylene Glycol 3350; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride']","2010-12-13T00:00:00",FALSE,0,1000
"Pylera",0.35,"Therapy","[u'Bismuth Subcitrate Potassium; Metronidazole; Tetracycline']","2010-12-13T00:00:00",FALSE,0,1000
"Helidac",0.35,"Therapy","[u'Bismuth Subsalicylate; Metronidazole; Tetracycline Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Bisoprolol Fumarate And Hydrochlorothiazide",0.35,"Therapy","[u'Bisoprolol Fumarate; Hydrochlorothiazide']","2010-12-13T00:00:00",FALSE,0,1000
"Ziac",0.35,"Therapy","[u'Bisoprolol Fumarate; Hydrochlorothiazide']","2010-12-13T00:00:00",FALSE,0,1000
"Zebeta",0.35,"Therapy","[u'Bisoprolol Fumarate']","2010-12-13T00:00:00",FALSE,0,1000
"Tornalate",0.35,"Therapy","[u'Bitolterol Mesylate']","2010-12-13T00:00:00",FALSE,0,1000
"Angiomax",0.35,"Therapy","[u'Bivalirudin']","2010-12-13T00:00:00",FALSE,0,1000
"Blenoxane",0.35,"Therapy","[u'Bleomycin Sulfate']","2010-12-13T00:00:00",FALSE,0,1000
"Velcade",0.35,"Therapy","[u'Bortezomib']","2010-12-13T00:00:00",FALSE,0,1000
"Tracleer",0.35,"Therapy","[u'Bosentan']","2010-12-13T00:00:00",FALSE,0,1000
"Botox",0.35,"Therapy","[u'Botulinum Toxin Type A']","2010-12-13T00:00:00",FALSE,0,1000
"Botox Cosmetic",0.35,"Therapy","[u'Botulinum Toxin Type A']","2010-12-13T00:00:00",FALSE,0,1000
"Myobloc",0.35,"Therapy","[u'Botulinum Toxin Type B']","2010-12-13T00:00:00",FALSE,0,1000
"Bretylium Tosylate In Dextrose 5%",0.35,"Therapy","[u'Bretylium Tosylate']","2010-12-13T00:00:00",FALSE,0,1000
"Bretylium Tosylate In Dextrose 5% In Plastic Container",0.35,"Therapy","[u'Bretylium Tosylate']","2010-12-13T00:00:00",FALSE,0,1000
"Bretylol",0.35,"Therapy","[u'Bretylium Tosylate']","2010-12-13T00:00:00",FALSE,0,1000
"Combigan",0.35,"Therapy","[u'Brimonidine Tartrate; Timolol Maleate']","2010-12-13T00:00:00",FALSE,0,1000
"Alphagan",0.35,"Therapy","[u'Brimonidine Tartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Alphagan P",0.35,"Therapy","[u'Brimonidine Tartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Azopt",0.35,"Therapy","[u'Brinzolamide']","2010-12-13T00:00:00",FALSE,0,1000
"Bromday",0.35,"Therapy","[u'Bromfenac Sodium']","2010-12-13T00:00:00",FALSE,0,1000
"Xibrom",0.35,"Therapy","[u'Bromfenac Sodium']","2010-12-13T00:00:00",FALSE,0,1000
"Cycloset",0.35,"Therapy","[u'Bromocriptine Mesylate']","2010-12-13T00:00:00",FALSE,0,1000
"Parlodel",0.35,"Therapy","[u'Bromocriptine Mesylate']","2010-12-13T00:00:00",FALSE,0,1000
"Ambenyl",0.35,"Therapy","[u'Bromodiphenhydramine Hydrochloride; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Bromanyl",0.35,"Therapy","[u'Bromodiphenhydramine Hydrochloride; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Bromodiphenhydramine Hydrochloride And Codeine Phosphate",0.35,"Therapy","[u'Bromodiphenhydramine Hydrochloride; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Ambodryl",0.35,"Therapy","[u'Bromodiphenhydramine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Bromanate Dc",0.35,"Therapy","[u'Brompheniramine Maleate; Codeine Phosphate; Phenylpropanolamine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Dimetane-Dc",0.35,"Therapy","[u'Brompheniramine Maleate; Codeine Phosphate; Phenylpropanolamine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Myphetane Dc",0.35,"Therapy","[u'Brompheniramine Maleate; Codeine Phosphate; Phenylpropanolamine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Bromanate Dm",0.35,"Therapy","[u'Brompheniramine Maleate; Dextromethorphan Hydrobromide; Pseudoephedrine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Bromfed-Dm",0.35,"Therapy","[u'Brompheniramine Maleate; Dextromethorphan Hydrobromide; Pseudoephedrine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Dimetane-Dx",0.35,"Therapy","[u'Brompheniramine Maleate; Dextromethorphan Hydrobromide; Pseudoephedrine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Biphetap",0.35,"Therapy","[u'Brompheniramine Maleate; Phenylpropanolamine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Bromanate",0.35,"Therapy","[u'Brompheniramine Maleate; Phenylpropanolamine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Bromatapp",0.35,"Therapy","[u'Brompheniramine Maleate; Phenylpropanolamine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Dimetapp",0.35,"Therapy","[u'Brompheniramine Maleate; Phenylpropanolamine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Efidac 24 Pseudoephedrine Hydrochloride/Brompheniramine Maleate",0.35,"Therapy","[u'Brompheniramine Maleate; Pseudoephedrine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Dimetane",0.35,"Therapy","[u'Brompheniramine Maleate']","2010-12-13T00:00:00",FALSE,0,1000
"Dimetane-Ten",0.35,"Therapy","[u'Brompheniramine Maleate']","2010-12-13T00:00:00",FALSE,0,1000
"Veltane",0.35,"Therapy","[u'Brompheniramine Maleate']","2010-12-13T00:00:00",FALSE,0,1000
"Bucladin-S",0.35,"Therapy","[u'Buclizine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Symbicort",0.35,"Therapy","[u'Budesonide; Formoterol Fumarate Dihydrate']","2010-12-13T00:00:00",FALSE,0,1000
"Entocort Ec",0.35,"Therapy","[u'Budesonide']","2010-12-13T00:00:00",FALSE,0,1000
"Pulmicort",0.35,"Therapy","[u'Budesonide']","2010-12-13T00:00:00",FALSE,0,1000
"Pulmicort Flexhaler",0.35,"Therapy","[u'Budesonide']","2010-12-13T00:00:00",FALSE,0,1000
"Pulmicort Respules",0.35,"Therapy","[u'Budesonide']","2010-12-13T00:00:00",FALSE,0,1000
"Rhinocort",0.35,"Therapy","[u'Budesonide']","2010-12-13T00:00:00",FALSE,0,1000
"Bumex",0.35,"Therapy","[u'Bumetanide']","2010-12-13T00:00:00",FALSE,0,1000
"Bupivacaine Hydrochloride And Epinephrine",0.35,"Therapy","[u'Bupivacaine Hydrochloride; Epinephrine Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Bupivacaine Hydrochloride W/Epinephrine",0.35,"Therapy","[u'Bupivacaine Hydrochloride; Epinephrine Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Marcaine Hydrochloride W/ Epinephrine",0.35,"Therapy","[u'Bupivacaine Hydrochloride; Epinephrine Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Marcaine Hydrochloride W/ Epinephrine Preservative Free",0.35,"Therapy","[u'Bupivacaine Hydrochloride; Epinephrine Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Duocaine",0.35,"Therapy","[u'Bupivacaine Hydrochloride; Lidocaine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Bupivacaine Hydrochloride Kit",0.35,"Therapy","[u'Bupivacaine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Bupivacaine Hydrochloride Preservative Free",0.35,"Therapy","[u'Bupivacaine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Marcaine",0.35,"Therapy","[u'Bupivacaine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Marcaine Hydrochloride",0.35,"Therapy","[u'Bupivacaine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Marcaine Hydrochloride Preservative Free",0.35,"Therapy","[u'Bupivacaine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Sensorcaine",0.35,"Therapy","[u'Bupivacaine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Buprenex",0.35,"Therapy","[u'Buprenorphine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Subutex",0.35,"Therapy","[u'Buprenorphine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Suboxone",0.35,"Therapy","[u'Buprenorphine; Naloxone']","2010-12-13T00:00:00",FALSE,0,1000
"Butrans",0.35,"Therapy","[u'Buprenorphine']","2010-12-13T00:00:00",FALSE,0,1000
"Aplenzin",0.35,"Therapy","[u'Bupropion Hydrobromide']","2010-12-13T00:00:00",FALSE,0,1000
"Wellbutrin",0.35,"Therapy","[u'Bupropion Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Wellbutrin Sr",0.35,"Therapy","[u'Bupropion Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Wellbutrin Xl",0.35,"Therapy","[u'Bupropion Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Zyban",0.35,"Therapy","[u'Bupropion Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Buspar",0.35,"Therapy","[u'Buspirone Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Buspirone Hcl",0.35,"Therapy","[u'Buspirone Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Busulfex",0.35,"Therapy","[u'Busulfan']","2010-12-13T00:00:00",FALSE,0,1000
"Myleran",0.35,"Therapy","[u'Busulfan']","2010-12-13T00:00:00",FALSE,0,1000
"Butabarb",0.35,"Therapy","[u'Butabarbital Sodium']","2010-12-13T00:00:00",FALSE,0,1000
"Butabarbital",0.35,"Therapy","[u'Butabarbital Sodium']","2010-12-13T00:00:00",FALSE,0,1000
"Butalan",0.35,"Therapy","[u'Butabarbital Sodium']","2010-12-13T00:00:00",FALSE,0,1000
"Buticaps",0.35,"Therapy","[u'Butabarbital Sodium']","2010-12-13T00:00:00",FALSE,0,1000
"Butisol Sodium",0.35,"Therapy","[u'Butabarbital Sodium']","2010-12-13T00:00:00",FALSE,0,1000
"Sarisol",0.35,"Therapy","[u'Butabarbital Sodium']","2010-12-13T00:00:00",FALSE,0,1000
"Sarisol No. 1",0.35,"Therapy","[u'Butabarbital Sodium']","2010-12-13T00:00:00",FALSE,0,1000
"Sarisol No. 2",0.35,"Therapy","[u'Butabarbital Sodium']","2010-12-13T00:00:00",FALSE,0,1000
"Sodium Butabarbital",0.35,"Therapy","[u'Butabarbital Sodium']","2010-12-13T00:00:00",FALSE,0,1000
"Butalbital; Acetaminophen; Caffeine; Codeine",0.35,"Therapy","[u'Butalbital; Acetaminophen; Caffeine; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Lotrimin Ultra",0.35,"Therapy","[u'Butenafine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Mentax",0.35,"Therapy","[u'Butenafine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Mentax-Tc",0.35,"Therapy","[u'Butenafine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Femstat",0.35,"Therapy","[u'Butoconazole Nitrate']","2010-12-13T00:00:00",FALSE,0,1000
"Femstat 3",0.35,"Therapy","[u'Butoconazole Nitrate']","2010-12-13T00:00:00",FALSE,0,1000
"Gynazole-1",0.35,"Therapy","[u'Butoconazole Nitrate']","2010-12-13T00:00:00",FALSE,0,1000
"Butorphanol Tartrate Preservative Free",0.35,"Therapy","[u'Butorphanol Tartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Stadol",0.35,"Therapy","[u'Butorphanol Tartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Stadol Preservative Free",0.35,"Therapy","[u'Butorphanol Tartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Jevtana Kit",0.35,"Therapy","[u'Cabazitaxel']","2010-12-13T00:00:00",FALSE,0,1000
"Dostinex",0.35,"Therapy","[u'Cabergoline']","2010-12-13T00:00:00",FALSE,0,1000
"Cafcit",0.35,"Therapy","[u'Caffeine Citrate']","2010-12-13T00:00:00",FALSE,0,1000
"Cafergot",0.35,"Therapy","[u'Caffeine; Ergotamine Tartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Ergotamine Tartrate And Caffeine",0.35,"Therapy","[u'Caffeine; Ergotamine Tartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Migergot",0.35,"Therapy","[u'Caffeine; Ergotamine Tartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Wigraine",0.35,"Therapy","[u'Caffeine; Ergotamine Tartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Calderol",0.35,"Therapy","[u'Calcifediol']","2010-12-13T00:00:00",FALSE,0,1000
"Dovonex",0.35,"Therapy","[u'Calcipotriene']","2010-12-13T00:00:00",FALSE,0,1000
"Sorilux",0.35,"Therapy","[u'Calcipotriene']","2010-12-13T00:00:00",FALSE,0,1000
"Cibacalcin",0.35,"Therapy","[u'Calcitonin Human']","2010-12-13T00:00:00",FALSE,0,1000
"Fortical",0.35,"Therapy","[u'Calcitonin Salmon Recombinant']","2010-12-13T00:00:00",FALSE,0,1000
"Calcimar",0.35,"Therapy","[u'Calcitonin Salmon']","2010-12-13T00:00:00",FALSE,0,1000
"Calcitonin-Salmon",0.35,"Therapy","[u'Calcitonin Salmon']","2010-12-13T00:00:00",FALSE,0,1000
"Miacalcin",0.35,"Therapy","[u'Calcitonin Salmon']","2010-12-13T00:00:00",FALSE,0,1000
"Calcijex",0.35,"Therapy","[u'Calcitriol']","2010-12-13T00:00:00",FALSE,0,1000
"Rocaltrol",0.35,"Therapy","[u'Calcitriol']","2010-12-13T00:00:00",FALSE,0,1000
"Vectical",0.35,"Therapy","[u'Calcitriol']","2010-12-13T00:00:00",FALSE,0,1000
"Eliphos",0.35,"Therapy","[u'Calcium Acetate']","2010-12-13T00:00:00",FALSE,0,1000
"Phoslo",0.35,"Therapy","[u'Calcium Acetate']","2010-12-13T00:00:00",FALSE,0,1000
"Phoslo Gelcaps",0.35,"Therapy","[u'Calcium Acetate']","2010-12-13T00:00:00",FALSE,0,1000
"Calcium Carbonate, Famotidine And Magnesium Hydroxide",0.35,"Therapy","[u'Calcium Carbonate; Famotidine; Magnesium Hydroxide']","2010-12-13T00:00:00",FALSE,0,1000
"Pepcid Complete",0.35,"Therapy","[u'Calcium Carbonate; Famotidine; Magnesium Hydroxide']","2010-12-13T00:00:00",FALSE,0,1000
"Actonel With Calcium (Copackaged)",0.35,"Therapy","[u'Calcium Carbonate; Risedronate Sodium']","2010-12-13T00:00:00",FALSE,0,1000
"Bss Plus",0.35,"Therapy","[u'Calcium Chloride; Dextrose; Glutathione Disulfide; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride; Sodium Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Endosol Extra",0.35,"Therapy","[u'Calcium Chloride; Dextrose; Glutathione Disulfide; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride; Sodium Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Navstel",0.35,"Therapy","[u'Calcium Chloride; Dextrose; Glutathione Disulfide; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride; Sodium Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Prismasol B22Gk 2/0 In Plastic Container",0.35,"Therapy","[u'Calcium Chloride; Dextrose; Lactic Acid; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride']","2010-12-13T00:00:00",FALSE,0,1000
"Prismasol B22Gk 2/2.5 In Plastic Container",0.35,"Therapy","[u'Calcium Chloride; Dextrose; Lactic Acid; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride']","2010-12-13T00:00:00",FALSE,0,1000
"Prismasol B22Gk 4/0 In Plastic Container",0.35,"Therapy","[u'Calcium Chloride; Dextrose; Lactic Acid; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride']","2010-12-13T00:00:00",FALSE,0,1000
"Prismasol B22Gk 4/2.5 In Plastic Container",0.35,"Therapy","[u'Calcium Chloride; Dextrose; Lactic Acid; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride']","2010-12-13T00:00:00",FALSE,0,1000
"Prismasol Bgk 0/2.5 In Plastic Container",0.35,"Therapy","[u'Calcium Chloride; Dextrose; Lactic Acid; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride']","2010-12-13T00:00:00",FALSE,0,1000
"Prismasol Bgk 2/0 In Plastic Container",0.35,"Therapy","[u'Calcium Chloride; Dextrose; Lactic Acid; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride']","2010-12-13T00:00:00",FALSE,0,1000
