"category","thresholdSensitivity","categoryType","alias","feedExpirationDate","feedIsStale"
"Diphenoxylate Hydrochloride W/ Atropine Sulfate",,"Therapy","[u'Atropine Sulfate; Diphenoxylate Hydrochloride']",,
"Diphenylan Sodium",,"Therapy","[u'Phenytoin Sodium']",,
"Dipivefrin Hydrochloride",,"Therapy",,,
"Diprivan",,"Therapy","[u'Propofol']",,
"Diprolene",,"Therapy","[u'Betamethasone Dipropionate']",,
"Diprolene Af",,"Therapy","[u'Betamethasone Dipropionate']",,
"Diprosone",,"Therapy","[u'Betamethasone Dipropionate']",,
"Dipyridamole",,"Therapy",,,
"Discase",,"Therapy","[u'Chymopapain']",,
"Disipal",,"Therapy","[u'Orphenadrine Hydrochloride']",,
"Disobrom",,"Therapy","[u'Dexbrompheniramine Maleate; Pseudoephedrine Sulfate']",,
"Disodium Edetate",,"Therapy","[u'Edetate Disodium']",,
"Disomer",,"Therapy","[u'Dexbrompheniramine Maleate']",,
"Disophrol",,"Therapy","[u'Dexbrompheniramine Maleate; Pseudoephedrine Sulfate']",,
"Disopyramide Phosphate",,"Therapy",,,
"Dispermox",,"Therapy","[u'Amoxicillin']",,
"Disulfiram",,"Therapy",,,
"Ditate-Ds",,"Therapy","[u'Estradiol Valerate; Testosterone Enanthate']",,
"Ditropan",,"Therapy","[u'Oxybutynin Chloride']",,
"Ditropan Xl",,"Therapy","[u'Oxybutynin Chloride']",,
"Diucardin",,"Therapy","[u'Hydroflumethiazide']",,
"Diulo",,"Therapy","[u'Metolazone']",,
"Diupres-250",,"Therapy","[u'Chlorothiazide; Reserpine']",,
"Diupres-500",,"Therapy","[u'Chlorothiazide; Reserpine']",,
"Diuril",,"Therapy","[u'Chlorothiazide']",,
"Diutensen-R",,"Therapy","[u'Methyclothiazide; Reserpine']",,
"Divalproex",,"Therapy","[u'Divalproex Sodium']",,
"Divalproex Sodium",,"Therapy",,,
"Divigel",,"Therapy","[u'Estradiol']",,
"Dizac",,"Therapy","[u'Diazepam']",,
"Dobutamine Hydrochloride",,"Therapy",,,
"Dobutamine Hydrochloride In Dextrose 5%",,"Therapy","[u'Dobutamine Hydrochloride']",,
"Dobutamine Hydrochloride In Dextrose 5% In Plastic Container",,"Therapy","[u'Dobutamine Hydrochloride']",,
"Dobutrex",,"Therapy","[u'Dobutamine Hydrochloride']",,
"Doca",,"Therapy","[u'Desoxycorticosterone Acetate']",,
"Docefrez",,"Therapy","[u'Docetaxel']",,
"Docetaxel",,"Therapy",,,
"Dolene",,"Therapy","[u'Propoxyphene Hydrochloride']",,
"Dolene Ap-65",,"Therapy","[u'Acetaminophen; Propoxyphene Hydrochloride']",,
"Dolobid",,"Therapy","[u'Diflunisal']",,
"Dolophine Hydrochloride",,"Therapy","[u'Methadone Hydrochloride']",,
"Domeboro",,"Therapy","[u'Acetic Acid, Glacial; Aluminum Acetate']",,
"Donepezil Hydrochloride",,"Therapy",,,
"Dopamine Hydrochloride",,"Therapy",,,
"Dopamine Hydrochloride And Dextrose 5%",,"Therapy","[u'Dopamine Hydrochloride']",,
"Dopamine Hydrochloride And Dextrose 5% In Plastic Container",,"Therapy","[u'Dopamine Hydrochloride']",,
"Dopamine Hydrochloride In Dextrose 5%",,"Therapy","[u'Dopamine Hydrochloride']",,
"Dopamine Hydrochloride In Dextrose 5% In Plastic Container",,"Therapy","[u'Dopamine Hydrochloride']",,
"Dopar",,"Therapy","[u'Levodopa']",,
"Dopram",,"Therapy","[u'Doxapram Hydrochloride']",,
"Doral",,"Therapy","[u'Quazepam']",,
"Doribax",,"Therapy","[u'Doripenem']",,
"Doriden",,"Therapy","[u'Glutethimide']",,
"Dormate",,"Therapy","[u'Mebutamate']",,
"Doryx",,"Therapy","[u'Doxycycline Hyclate']",,
"Dorzolamide Hydrochloride",,"Therapy",,,
"Dorzolamide Hydrochloride And Timolol Maleate",,"Therapy","[u'Dorzolamide Hydrochloride; Timolol Maleate']",,
"Dostinex",,"Therapy","[u'Cabergoline']",,
"Dovonex",,"Therapy","[u'Calcipotriene']",,
"Dow-Isoniazid",,"Therapy","[u'Isoniazid']",,
"Doxapram Hydrochloride",,"Therapy",,,
"Doxazosin Mesylate",,"Therapy",,,
"Doxepin Hydrochloride",,"Therapy",,,
"Doxercalciferol",,"Therapy",,,
"Doxil",,"Therapy","[u'Doxorubicin Hydrochloride']",,
"Doxorubicin Hydrochloride",,"Therapy",,,
"Doxy 100",,"Therapy","[u'Doxycycline Hyclate']",,
"Doxy 200",,"Therapy","[u'Doxycycline Hyclate']",,
"Doxy-Lemmon",,"Therapy","[u'Doxycycline Hyclate']",,
"Doxy-Sleep-Aid",,"Therapy","[u'Doxylamine Succinate']",,
"Doxychel",,"Therapy","[u'Doxycycline']",,
"Doxychel Hyclate",,"Therapy","[u'Doxycycline Hyclate']",,
"Doxycycline",,"Therapy",,,
"Doxycycline Hyclate",,"Therapy",,,
"Doxylamine Succinate",,"Therapy",,,
"Dralserp",,"Therapy","[u'Hydralazine Hydrochloride; Reserpine']",,
"Dralzine",,"Therapy","[u'Hydralazine Hydrochloride']",,
"Draximage Mdp-10",,"Therapy","[u'Technetium Tc-99M Medronate']",,
"Draximage Mdp-25",,"Therapy","[u'Technetium Tc-99M Medronate']",,
"Dricort",,"Therapy","[u'Hydrocortisone Acetate']",,
"Drisdol",,"Therapy","[u'Ergocalciferol']",,
"Drixoral",,"Therapy","[u'Dexbrompheniramine Maleate; Pseudoephedrine Sulfate']",,
"Drixoral Plus",,"Therapy","[u'Acetaminophen; Dexbrompheniramine Maleate; Pseudoephedrine Sulfate']",,
"Drize",,"Therapy","[u'Chlorpheniramine Maleate; Phenylpropanolamine Hydrochloride']",,
"Drolban",,"Therapy","[u'Dromostanolone Propionate']",,
"Dronabinol",,"Therapy",,,
"Droperidol",,"Therapy",,,
"Drospirenone And Ethinyl Estradiol",,"Therapy","[u'Drospirenone; Ethinyl Estradiol']",,
"Droxia",,"Therapy","[u'Hydroxyurea']",,
"Dtic-Dome",,"Therapy","[u'Dacarbazine']",,
"Dtpa",,"Therapy","[u'Technetium Tc-99M Pentetate Kit']",,
"Duac",,"Therapy","[u'Benzoyl Peroxide; Clindamycin Phosphate']",,
"Duetact",,"Therapy","[u'Glimepiride; Pioglitazone Hydrochloride']",,
"Dulera",,"Therapy","[u'Formoterol Fumarate; Mometasone Furoate']",,
"Duloxetine Hydrochloride",,"Therapy",,,
"Duo-Medihaler",,"Therapy","[u'Isoproterenol Hydrochloride; Phenylephrine Bitartrate']",,
"Duocaine",,"Therapy","[u'Bupivacaine Hydrochloride; Lidocaine Hydrochloride']",,
"Duodote",,"Therapy","[u'Atropine; Pralidoxime Chloride']",,
"Duoneb",,"Therapy","[u'Albuterol Sulfate; Ipratropium Bromide']",,
"Duphalac",,"Therapy","[u'Lactulose']",,
"Durabolin",,"Therapy","[u'Nandrolone Phenpropionate']",,
"Duracillin A.S.",,"Therapy","[u'Penicillin G Procaine']",,
"Duraclon",,"Therapy","[u'Clonidine Hydrochloride']",,
"Duradyne Dhc",,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']",,
"Duragesic-100",,"Therapy","[u'Fentanyl']",,
"Duragesic-12",,"Therapy","[u'Fentanyl']",,
"Duragesic-25",,"Therapy","[u'Fentanyl']",,
"Duragesic-50",,"Therapy","[u'Fentanyl']",,
"Duragesic-75",,"Therapy","[u'Fentanyl']",,
"Duramorph Pf",,"Therapy","[u'Morphine Sulfate']",,
"Duranest",,"Therapy","[u'Epinephrine Bitartrate; Etidocaine Hydrochloride']",,
"Duraphyl",,"Therapy","[u'Theophylline']",,
"Duraprep",,"Therapy","[u'Iodine Povacrylex; Isopropyl Alcohol']",,
"Duraquin",,"Therapy","[u'Quinidine Gluconate']",,
"Durezol",,"Therapy","[u'Difluprednate']",,
"Duricef",,"Therapy","[u'Cefadroxil/Cefadroxil Hemihydrate']",,
"Dutasteride",,"Therapy",,,
"Dutoprol",,"Therapy","[u'Hydrochlorothiazide; Metoprolol Succinate']",,
"Duvoid",,"Therapy","[u'Bethanechol Chloride']",,
"Dv",,"Therapy","[u'Dienestrol']",,
"Dyazide",,"Therapy","[u'Hydrochlorothiazide; Triamterene']",,
"Dycill",,"Therapy","[u'Dicloxacillin Sodium']",,
"Dyclone",,"Therapy","[u'Dyclonine Hydrochloride']",,
"Dymelor",,"Therapy","[u'Acetohexamide']",,
"Dyna-Hex",,"Therapy","[u'Chlorhexidine Gluconate']",,
"Dynabac",,"Therapy","[u'Dirithromycin']",,
"Dynacin",,"Therapy","[u'Minocycline Hydrochloride']",,
"Dynacirc",,"Therapy","[u'Isradipine']",,
"Dynacirc Cr",,"Therapy","[u'Isradipine']",,
"Dynapen",,"Therapy","[u'Dicloxacillin Sodium']",,
"Dyrenium",,"Therapy","[u'Triamterene']",,
"Dysport",,"Therapy","[u'Abobotulinumtoxina']",,
"E-Base",,"Therapy","[u'Erythromycin']",,
"E-Glades",,"Therapy","[u'Erythromycin']",,
"E-Mycin",,"Therapy","[u'Erythromycin']",,
"E-Mycin E",,"Therapy","[u'Erythromycin Ethylsuccinate']",,
"E-Solve 2",,"Therapy","[u'Erythromycin']",,
"E-Z Prep",,"Therapy","[u'Povidone-Iodine']",,
"E-Z Prep 220",,"Therapy","[u'Povidone-Iodine']",,
"E-Z Scrub",,"Therapy","[u'Chlorhexidine Gluconate']",,
"E-Z Scrub 201",,"Therapy","[u'Povidone-Iodine']",,
"E-Z Scrub 241",,"Therapy","[u'Povidone-Iodine']",,
"E-Z-Em Prep Lyte",,"Therapy","[u'Polyethylene Glycol 3350; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride; Sodium Sulfate Anhydrous']",,
"E.E.S.",,"Therapy","[u'Erythromycin Ethylsuccinate']",,
"E.E.S. 200",,"Therapy","[u'Erythromycin Ethylsuccinate']",,
"E.E.S. 400",,"Therapy","[u'Erythromycin Ethylsuccinate']",,
"Ec-Naprosyn",,"Therapy","[u'Naproxen']",,
"Econazole Nitrate",,"Therapy",,,
"Econochlor",,"Therapy","[u'Chloramphenicol']",,
"Econopred",,"Therapy","[u'Prednisolone Acetate']",,
"Edecrin",,"Therapy","[u'Ethacrynate Sodium']",,
"Edetate Disodium",,"Therapy",,,
"Edex",,"Therapy","[u'Alprostadil']",,
"Edluar",,"Therapy","[u'Zolpidem Tartrate']",,
"Edrophonium Chloride",,"Therapy",,,
"Edrophonium Chloride Preservative Free",,"Therapy","[u'Edrophonium Chloride']",,
"Efavirenz",,"Therapy",,,
"Efavirenz 200Mg Scored Tablets",,"Therapy","[u'Efavirenz']",,
"Efavirenz; Emtricitabine; Tenofovir Disoproxil Fumarate",,"Therapy",,,
"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate",,"Therapy","[u'Efavirenz; Lamivudine; Tenofovir Disoproxil Fumarate']",,
"Effexor",,"Therapy","[u'Venlafaxine Hydrochloride']",,
"Effexor Xr",,"Therapy","[u'Venlafaxine Hydrochloride']",,
"Effient",,"Therapy","[u'Prasugrel Hydrochloride']",,
"Efidac 24 Chlorpheniramine Maleate",,"Therapy","[u'Chlorpheniramine Maleate']",,
"Efidac 24 Pseudoephedrine Hydrochloride/Brompheniramine Maleate",,"Therapy","[u'Brompheniramine Maleate; Pseudoephedrine Hydrochloride']",,
"Efudex",,"Therapy","[u'Fluorouracil']",,
"Egrifta",,"Therapy","[u'Tesamorelin Acetate']",,
"Elaprase",,"Therapy","[u'Idursulfase']",,
"Elase-Chloromycetin",,"Therapy","[u'Chloramphenicol; Desoxyribonuclease; Fibrinolysin']",,
"Elavil",,"Therapy","[u'Amitriptyline Hydrochloride']",,
"Eldecort",,"Therapy","[u'Hydrocortisone']",,
"Eldepryl",,"Therapy","[u'Selegiline Hydrochloride']",,
"Elestat",,"Therapy","[u'Epinastine Hydrochloride']",,
"Elestrin",,"Therapy","[u'Estradiol']",,
"Elidel",,"Therapy","[u'Pimecrolimus']",,
"Eligard",,"Therapy","[u'Leuprolide Acetate']",,
"Elimite",,"Therapy","[u'Permethrin']",,
"Eliphos",,"Therapy","[u'Calcium Acetate']",,
"Elitek",,"Therapy","[u'Rasburicase']",,
"Elixicon",,"Therapy","[u'Theophylline']",,
"Elixomin",,"Therapy","[u'Theophylline']",,
"Elixophyllin",,"Therapy","[u'Theophylline']",,
"Elixophyllin Sr",,"Therapy","[u'Theophylline']",,
"Ella",,"Therapy","[u'Ulipristal Acetate']",,
"Ellence",,"Therapy","[u'Epirubicin Hydrochloride']",,
"Elliotts B Solution",,"Therapy","[u'Calcium Chloride; Dextrose; Magnesium Sulfate; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride; Sodium Phosphate, Dibasic, Heptahydrate']",,
"Elmiron",,"Therapy","[u'Pentosan Polysulfate Sodium']",,
"Elocon",,"Therapy","[u'Mometasone Furoate']",,
"Eloxatin",,"Therapy","[u'Oxaliplatin']",,
"Elspar",,"Therapy","[u'Asparaginase']",,
"Emadine",,"Therapy","[u'Emedastine Difumarate']",,
"Embeda",,"Therapy","[u'Morphine Sulfate; Naltrexone Hydrochloride']",,
"Embeline",,"Therapy","[u'Clobetasol Propionate']",,
"Embeline E",,"Therapy","[u'Clobetasol Propionate']",,
"Embolex",,"Therapy","[u'Dihydroergotamine Mesylate; Heparin Sodium; Lidocaine Hydrochloride']",,
"Emcyt",,"Therapy","[u'Estramustine Phosphate Sodium']",,
"Emend",,"Therapy","[u'Fosaprepitant Dimeglumine']",,
"Emete-Con",,"Therapy","[u'Benzquinamide Hydrochloride']",,
"Emgel",,"Therapy","[u'Erythromycin']",,
"Emla",,"Therapy","[u'Lidocaine; Prilocaine']",,
"Empracet W/ Codeine Phosphate #3",,"Therapy","[u'Acetaminophen; Codeine Phosphate']",,
"Empracet W/ Codeine Phosphate #4",,"Therapy","[u'Acetaminophen; Codeine Phosphate']",,
"Emsam",,"Therapy","[u'Selegiline']",,
"Emtricitabine",,"Therapy",,,
"Emtricitabine; Tenofovir Disoproxil Fumarate",,"Therapy",,,
"Emtriva",,"Therapy","[u'Emtricitabine']",,
"Enablex",,"Therapy","[u'Darifenacin Hydrobromide']",,
"Enalapril Maleate",,"Therapy",,,
"Enalapril Maleate And Hydrochlorothiazide",,"Therapy","[u'Enalapril Maleate; Hydrochlorothiazide']",,
"Enalaprilat",,"Therapy",,,
"Enbrel",,"Therapy","[u'Etanercept']",,
"Endep",,"Therapy","[u'Amitriptyline Hydrochloride']",,
"Endometrin",,"Therapy","[u'Progesterone']",,
"Endosol Extra",,"Therapy","[u'Calcium Chloride; Dextrose; Glutathione Disulfide; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride; Sodium Phosphate']",,
"Enduron",,"Therapy","[u'Methyclothiazide']",,
"Enduronyl",,"Therapy","[u'Deserpidine; Methyclothiazide']",,
"Enduronyl Forte",,"Therapy","[u'Deserpidine; Methyclothiazide']",,
"Enflurane",,"Therapy",,,
"Enjuvia",,"Therapy","[u'Estrogens, Conjugated Synthetic B']",,
"Enlon",,"Therapy","[u'Edrophonium Chloride']",,
"Enlon-Plus",,"Therapy","[u'Atropine Sulfate; Edrophonium Chloride']",,
"Enovid",,"Therapy","[u'Mestranol; Norethynodrel']",,
"Enovid-E",,"Therapy","[u'Mestranol; Norethynodrel']",,
"Enovid-E 21",,"Therapy","[u'Mestranol; Norethynodrel']",,
"Enoxaparin Sodium (Preservative Free)",,"Therapy","[u'Enoxaparin Sodium']",,
"Enpresse-21",,"Therapy","[u'Ethinyl Estradiol; Levonorgestrel']",,
"Enpresse-28",,"Therapy","[u'Ethinyl Estradiol; Levonorgestrel']",,
"Entereg",,"Therapy","[u'Alvimopan']",,
"Entocort Ec",,"Therapy","[u'Budesonide']",,
"Enulose",,"Therapy","[u'Lactulose']",,
"Eovist",,"Therapy","[u'Gadoxetate Disodium']",,
"Epi E Z Pen Jr",,"Therapy","[u'Epinephrine']",,
"Epicort",,"Therapy","[u'Hydrocortisone']",,
"Epiduo",,"Therapy","[u'Adapalene; Benzoyl Peroxide']",,
"Epifoam",,"Therapy","[u'Hydrocortisone Acetate; Pramoxine Hydrochloride']",,
"Epinastine Hydrochloride",,"Therapy",,,
"Epinephrine",,"Therapy",,,
"Epipen",,"Therapy","[u'Epinephrine']",,
"Epipen E Z Pen",,"Therapy","[u'Epinephrine']",,
"Epipen Jr.",,"Therapy","[u'Epinephrine']",,
"Epirubicin Hydrochloride",,"Therapy",,,
"Epitol",,"Therapy","[u'Carbamazepine']",,
"Epivir",,"Therapy","[u'Lamivudine']",,
"Epivir-Hbv",,"Therapy","[u'Lamivudine']",,
"Eplerenone",,"Therapy",,,
"Epogen/Procrit",,"Therapy","[u'Epoetin Alfa']",,
"Epoprostenol Sodium",,"Therapy",,,
"Eprex",,"Therapy","[u'Epoetin Alfa']",,
"Epzicom",,"Therapy","[u'Abacavir Sulfate; Lamivudine']",,
"Equagesic",,"Therapy","[u'Aspirin; Meprobamate']",,
"Equanil",,"Therapy","[u'Meprobamate']",,
"Equetro",,"Therapy","[u'Carbamazepine']",,
"Equipin",,"Therapy","[u'Homatropine Methylbromide']",,
"Eraxis",,"Therapy","[u'Anidulafungin']",,
"Erbitux",,"Therapy","[u'Cetuximab']",,
"Ergamisol",,"Therapy","[u'Levamisole Hydrochloride']",,
"Ergocalciferol",,"Therapy",,,
"Ergoloid Mesylates",,"Therapy",,,
"Ergomar",,"Therapy","[u'Ergotamine Tartrate']",,
"Ergostat",,"Therapy","[u'Ergotamine Tartrate']",,
"Ergotamine Tartrate And Caffeine",,"Therapy","[u'Caffeine; Ergotamine Tartrate']",,
"Erlotinib Hydrochloride",,"Therapy",,,
"Errin",,"Therapy","[u'Norethindrone']",,
"Ertaczo",,"Therapy","[u'Sertaconazole Nitrate']",,
"Ery-Tab",,"Therapy","[u'Erythromycin']",,
"Eryc",,"Therapy","[u'Erythromycin']",,
"Eryc 125",,"Therapy","[u'Erythromycin']",,
"Eryc Sprinkles",,"Therapy","[u'Erythromycin']",,
"Erycette",,"Therapy","[u'Erythromycin']",,
"Eryderm",,"Therapy","[u'Erythromycin']",,
"Erygel",,"Therapy","[u'Erythromycin']",,
"Erymax",,"Therapy","[u'Erythromycin']",,
"Erypar",,"Therapy","[u'Erythromycin Stearate']",,
"Eryped",,"Therapy","[u'Erythromycin Ethylsuccinate']",,
"Erythra-Derm",,"Therapy","[u'Erythromycin']",,
"Erythro-Statin",,"Therapy","[u'Erythromycin']",,
"Erythrocin",,"Therapy","[u'Erythromycin Lactobionate']",,
"Erythrocin Stearate",,"Therapy","[u'Erythromycin Stearate']",,
"Erythromycin",,"Therapy",,,
"Erythromycin And Benzoyl Peroxide",,"Therapy","[u'Benzoyl Peroxide; Erythromycin']",,
"Erythromycin Estolate",,"Therapy",,,
"Erythromycin Ethylsuccinate",,"Therapy",,,
"Erythromycin Ethylsuccinate And Sulfisoxazole Acetyl",,"Therapy","[u'Erythromycin Ethylsuccinate; Sulfisoxazole Acetyl']",,
"Erythromycin Lactobionate",,"Therapy",,,
"Erythromycin Stearate",,"Therapy",,,
"Eryzole",,"Therapy","[u'Erythromycin Ethylsuccinate; Sulfisoxazole Acetyl']",,
"Escitalopram",,"Therapy","[u'Escitalopram Oxalate']",,
"Escitalopram Oxalate",,"Therapy",,,
"Esclim",,"Therapy","[u'Estradiol']",,
"Esgic",,"Therapy","[u'Acetaminophen; Butalbital; Caffeine']",,
"Esgic-Plus",,"Therapy","[u'Acetaminophen; Butalbital; Caffeine']",,
"Esidrix",,"Therapy","[u'Hydrochlorothiazide']",,
"Esimil",,"Therapy","[u'Guanethidine Monosulfate; Hydrochlorothiazide']",,
"Eskalith",,"Therapy","[u'Lithium Carbonate']",,
"Eskalith Cr",,"Therapy","[u'Lithium Carbonate']",,
"Esmolol Hydrochloride",,"Therapy",,,
"Esomeprazole Magnesium",,"Therapy",,,
"Estazolam",,"Therapy",,,
"Esterified Estrogens",,"Therapy","[u'Estrogens, Esterified']",,
"Estinyl",,"Therapy","[u'Ethinyl Estradiol']",,
"Estrace",,"Therapy","[u'Estradiol']",,
"Estraderm",,"Therapy","[u'Estradiol']",,
"Estradiol",,"Therapy",,,
"Estradiol And Norethindrone Acetate",,"Therapy","[u'Estradiol; Norethindrone Acetate']",,
"Estradiol And Norgestimate",,"Therapy","[u'Estradiol; Norgestimate']",,
"Estradiol Cypionate",,"Therapy",,,
"Estradiol Valerate",,"Therapy",,,
"Estradurin",,"Therapy","[u'Polyestradiol Phosphate']",,
"Estraguard",,"Therapy","[u'Dienestrol']",,
"Estrasorb",,"Therapy","[u'Estradiol Hemihydrate']",,
"Estratab",,"Therapy","[u'Estrogens, Esterified']",,
"Estring",,"Therapy","[u'Estradiol']",,
"Estrogel",,"Therapy","[u'Estradiol']",,
"Estrogenic Substance",,"Therapy","[u'Estrone']",,
"Estrone",,"Therapy",,,
"Estropipate",,"Therapy",,,
"Estrostep 21",,"Therapy","[u'Ethinyl Estradiol; Norethindrone Acetate']",,
"Estrostep Fe",,"Therapy","[u'Ethinyl Estradiol; Norethindrone Acetate']",,
"Estrovis",,"Therapy","[u'Quinestrol']",,
"Eszopiclone",,"Therapy",,,
"Ethambutol Hydrochloride",,"Therapy",,,
"Ethamide",,"Therapy","[u'Ethoxzolamide']",,
"Ethamolin",,"Therapy","[u'Ethanolamine Oleate']",,
"Ethchlorvynol",,"Therapy",,,
"Ethiodol",,"Therapy","[u'Ethiodized Oil']",,
"Ethmozine",,"Therapy","[u'Moricizine Hydrochloride']",,
"Ethosuximide",,"Therapy",,,
"Ethrane",,"Therapy","[u'Enflurane']",,
"Ethril 250",,"Therapy","[u'Erythromycin Stearate']",,
"Ethril 500",,"Therapy","[u'Erythromycin Stearate']",,
"Ethyol",,"Therapy","[u'Amifostine']",,
"Etidronate Disodium",,"Therapy",,,
"Etodolac",,"Therapy",,,
"Etomidate",,"Therapy",,,
"Etopophos Preservative Free",,"Therapy","[u'Etoposide Phosphate']",,
"Etoposide",,"Therapy",,,
"Etrafon 2-10",,"Therapy","[u'Amitriptyline Hydrochloride; Perphenazine']",,
"Etrafon 2-25",,"Therapy","[u'Amitriptyline Hydrochloride; Perphenazine']",,
"Etrafon-A",,"Therapy","[u'Amitriptyline Hydrochloride; Perphenazine']",,
"Etrafon-Forte",,"Therapy","[u'Amitriptyline Hydrochloride; Perphenazine']",,
"Eulexin",,"Therapy","[u'Flutamide']",,
"Eurax",,"Therapy","[u'Crotamiton']",,
"Euthroid-0.5",,"Therapy","[u'Liotrix (T4;T3)']",,
"Euthroid-1",,"Therapy","[u'Liotrix (T4;T3)']",,
"Euthroid-2",,"Therapy","[u'Liotrix (T4;T3)']",,
"Euthroid-3",,"Therapy","[u'Liotrix (T4;T3)']",,
"Eutonyl",,"Therapy","[u'Pargyline Hydrochloride']",,
"Eutron",,"Therapy","[u'Methyclothiazide; Pargyline Hydrochloride']",,
"Evalose",,"Therapy","[u'Lactulose']",,
"Evamist",,"Therapy","[u'Estradiol']",,
"Evans Blue",,"Therapy",,,
"Evex",,"Therapy","[u'Estrogens, Esterified']",,
"Evista",,"Therapy","[u'Raloxifene Hydrochloride']",,
"Evoclin",,"Therapy","[u'Clindamycin Phosphate']",,
"Evoxac",,"Therapy","[u'Cevimeline Hydrochloride']",,
"Exalgo",,"Therapy","[u'Hydromorphone Hydrochloride']",,
"Excedrin (Migraine)",,"Therapy","[u'Acetaminophen; Aspirin; Caffeine']",,
"Exelderm",,"Therapy","[u'Sulconazole Nitrate']",,
"Exelon",,"Therapy","[u'Rivastigmine']",,
"Exemestane",,"Therapy",,,
"Exforge",,"Therapy","[u'Amlodipine Besylate; Valsartan']",,
"Exforge Hct",,"Therapy","[u'Amlodipine Besylate; Hydrochlorothiazide; Valsartan']",,
"Exidine",,"Therapy","[u'Chlorhexidine Gluconate']",,
"Exjade",,"Therapy","[u'Deferasirox']",,
"Exna",,"Therapy","[u'Benzthiazide']",,
"Exosurf Neonatal",,"Therapy","[u'Cetyl Alcohol; Colfosceril Palmitate; Tyloxapol']",,
"Exsel",,"Therapy","[u'Selenium Sulfide']",,
"Extavia",,"Therapy","[u'Interferon Beta-1B']",,
"Extended Phenytoin Sodium",,"Therapy","[u'Phenytoin Sodium']",,
"Extina",,"Therapy","[u'Ketoconazole']",,
"Extra-Strength Aim",,"Therapy","[u'Sodium Monofluorophosphate']",,
"Extraneal",,"Therapy","[u'Icodextrin']",,
"Exubera",,"Therapy","[u'Insulin Recombinant Human']",,
"Ezetimibe",,"Therapy",,,
"Fabrazyme",,"Therapy","[u'Agalsidase Beta']",,
"Factive",,"Therapy","[u'Gemifloxacin Mesylate']",,
"Factrel",,"Therapy","[u'Gonadorelin Hydrochloride']",,
"Famciclovir",,"Therapy",,,
"Famotidine",,"Therapy",,,
"Famotidine Preservative Free",,"Therapy","[u'Famotidine']",,
"Famotidine Preservative Free (Pharmacy Bulk)",,"Therapy","[u'Famotidine']",,
"Famotidine Preservative Free In Plastic Container",,"Therapy","[u'Famotidine']",,
"Famvir",,"Therapy","[u'Famciclovir']",,
"Fanapt",,"Therapy","[u'Iloperidone']",,
"Fansidar",,"Therapy","[u'Pyrimethamine; Sulfadoxine']",,
"Fareston",,"Therapy","[u'Toremifene Citrate']",,
"Faslodex",,"Therapy","[u'Fulvestrant']",,
"Fastin",,"Therapy","[u'Phentermine Hydrochloride']",,
"Fazaclo Odt",,"Therapy","[u'Clozapine']",,
"Felbatol",,"Therapy","[u'Felbamate']",,
"Feldene",,"Therapy","[u'Piroxicam']",,
"Felodipine",,"Therapy",,,
"Femara",,"Therapy","[u'Letrozole']",,
"Femcet",,"Therapy","[u'Acetaminophen; Butalbital; Caffeine']",,
"Femcon Fe",,"Therapy","[u'Ethinyl Estradiol; Norethindrone']",,
"Femhrt",,"Therapy","[u'Ethinyl Estradiol; Norethindrone Acetate']",,
"Feminone",,"Therapy","[u'Ethinyl Estradiol']",,
"Femogen",,"Therapy","[u'Estrogens, Esterified']",,
"Fempatch",,"Therapy","[u'Estradiol']",,
"Femring",,"Therapy","[u'Estradiol Acetate']",,
"Femstat",,"Therapy","[u'Butoconazole Nitrate']",,
"Femstat 3",,"Therapy","[u'Butoconazole Nitrate']",,
"Femtrace",,"Therapy","[u'Estradiol Acetate']",,
"Fenofibrate",,"Therapy",,,
"Fenofibrate (Micronized)",,"Therapy","[u'Fenofibrate']",,
"Fenoglide",,"Therapy","[u'Fenofibrate']",,
"Fenoldopam Mesylate",,"Therapy",,,
"Fenoprofen Calcium",,"Therapy",,,
"Fentanyl",,"Therapy",,,
"Fentanyl Citrate",,"Therapy",,,
"Fentanyl Citrate And Droperidol",,"Therapy","[u'Droperidol; Fentanyl Citrate']",,
"Fentanyl Citrate Preservative Free",,"Therapy","[u'Fentanyl Citrate']",,
"Fentanyl-100",,"Therapy","[u'Fentanyl']",,
"Fentanyl-12",,"Therapy","[u'Fentanyl']",,
"Fentanyl-25",,"Therapy","[u'Fentanyl']",,
"Fentanyl-50",,"Therapy","[u'Fentanyl']",,
"Fentanyl-75",,"Therapy","[u'Fentanyl']",,
"Fentora",,"Therapy","[u'Fentanyl Citrate']",,
"Feraheme",,"Therapy","[u'Ferumoxytol']",,
"Feridex I.V.",,"Therapy","[u'Ferumoxides']",,
"Ferndex",,"Therapy","[u'Dextroamphetamine Sulfate']",,
"Fernisolone-P",,"Therapy","[u'Prednisolone']",,
"Fernisone",,"Therapy","[u'Prednisone']",,
"Ferriseltz",,"Therapy","[u'Ferric Ammonium Citrate']",,
"Ferrlecit",,"Therapy","[u'Sodium Ferric Gluconate Complex']",,
"Ferrous Citrate Fe 59",,"Therapy","[u'Ferrous Citrate, Fe-59']",,
"Fertinex",,"Therapy","[u'Urofollitropin']",,
