"applicationNumber","productNumber","form","dosage","productMarketStatus","tecCode","isReferenceDrug","treatmentTypeName","activeIngredients","interestCategories","isDrug"
20210,1,"Tablet; Oral","EQ 10MG BASE","Discontinued",,0,"Propulsid","Cisapride Monohydrate","Oxistat",TRUE
20210,2,"Tablet; Oral","EQ 20MG BASE","Discontinued",,0,"Propulsid","Cisapride Monohydrate","Propulsid",TRUE
20212,1,"Injectable; Injection","EQ 250MG BASE/VIAL","Prescription","AP",1,"Zinecard","Dexrazoxane Hydrochloride","Propulsid",TRUE
20212,2,"Injectable; Injection","EQ 500MG BASE/VIAL","Prescription","AP",1,"Zinecard","Dexrazoxane Hydrochloride","Zinecard",TRUE
20213,1,"For Solution; Ophthalmic","20MG/VIAL","Prescription",,1,"Miochol-E","Acetylcholine Chloride","Zinecard",TRUE
20214,1,"Injectable; Injection","50MG/5ML (10MG/ML)","Prescription","AP",1,"Zemuron","Rocuronium Bromide","Miochol-E",TRUE
20214,2,"Injectable; Injection","10MG/ML (10MG/ML)","Discontinued",,0,"Zemuron","Rocuronium Bromide","Zemuron",TRUE
20214,3,"Injectable; Injection","100MG/10ML (10MG/ML)","Prescription","AP",1,"Zemuron","Rocuronium Bromide","Zemuron",TRUE
20215,1,"Tablet; Oral","20MG","Prescription","AB",1,"Monoket","Isosorbide Mononitrate","Zemuron",TRUE
20215,2,"Tablet; Oral","10MG","Prescription","AB",0,"Monoket","Isosorbide Mononitrate","Monoket",TRUE
20216,1,"Cream; Topical, Vaginal","0.625MG/GM","Prescription",,1,"Premarin","Estrogens, Conjugated","Monoket",TRUE
20219,1,"Suspension/Drops; Ophthalmic","EQ 0.05% BASE","Discontinued",,0,"Livostin","Levocabastine Hydrochloride","Premarin",TRUE
20220,1,"Injectable; Injection",76.90%,"Prescription",,1,"Ultravist 370","Iopromide","Livostin",TRUE
20220,2,"Injectable; Injection",62.30%,"Prescription",,1,"Ultravist 300","Iopromide","Ultravist 370",TRUE
20220,3,"Injectable; Injection",49.90%,"Prescription",,1,"Ultravist 240","Iopromide","Ultravist 300",TRUE
20220,4,"Injectable; Injection",31.20%,"Prescription",,1,"Ultravist 150","Iopromide","Ultravist 240",TRUE
20220,5,"Injectable; Injection",62.30%,"Prescription",,1,"Ultravist 300 In Plastic Container","Iopromide","Ultravist 150",TRUE
20221,1,"Injectable; Injection","500MG/VIAL","Prescription","AP",1,"Ethyol","Amifostine","Ultravist 300 In Plastic Container",TRUE
20221,2,"Injectable; Injection","375MG/VIAL","Discontinued",,0,"Ethyol","Amifostine","Ethyol",TRUE
20222,1,"Tablet; Oral","1GM","Prescription","AB",1,"Colestid","Colestipol Hydrochloride","Ethyol",TRUE
20225,1,"Tablet, Extended Release; Oral","30MG","Discontinued",,0,"Imdur","Isosorbide Mononitrate","Colestid",TRUE
20225,2,"Tablet, Extended Release; Oral","60MG","Discontinued",,0,"Imdur","Isosorbide Mononitrate","Imdur",TRUE
20225,3,"Tablet, Extended Release; Oral","120MG","Discontinued",,0,"Imdur","Isosorbide Mononitrate","Imdur",TRUE
20226,1,"Solution/Drops; Ophthalmic","0.025%;0.3%","Over The Counter",,1,"Naphcon-A","Naphazoline Hydrochloride; Pheniramine Maleate","Imdur",TRUE
20227,1,"Injectable; Injection","10,000 UNITS/0.5ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**","Discontinued",,0,"Normiflo","Ardeparin Sodium","Naphcon-A",TRUE
20227,2,"Injectable; Injection","5,000 UNITS/0.5ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**","Discontinued",,0,"Normiflo","Ardeparin Sodium","Normiflo",TRUE
20228,1,"Solution; Inhalation",0.02%,"Discontinued",,0,"Atrovent","Ipratropium Bromide","Normiflo",TRUE
20229,1,"Injectable; Injection","1MG/ML","Prescription","AP",1,"Leustatin","Cladribine","Atrovent",TRUE
20231,1,"Paste; Dental","0.24%;0.3%","Over The Counter",,1,"Colgate Total","Sodium Fluoride; Triclosan","Leustatin",TRUE
20232,1,"Capsule; Oral","325MG;50MG;40MG;30MG","Prescription","AB",1,"Fioricet W/ Codeine","Acetaminophen; Butalbital; Caffeine; Codeine Phosphate","Colgate Total",TRUE
20233,1,"Aerosol, Metered; Nasal","0.032MG/INH","Discontinued",,0,"Rhinocort","Budesonide","Fioricet W/ Codeine",TRUE
20234,1,"Tablet, Extended Release; Oral","100MG","Prescription","AB",0,"Tegretol-Xr","Carbamazepine","Rhinocort",TRUE
20234,2,"Tablet, Extended Release; Oral","200MG","Prescription","AB",0,"Tegretol-Xr","Carbamazepine","Tegretol-Xr",TRUE
20234,3,"Tablet, Extended Release; Oral","400MG","Prescription","AB",1,"Tegretol-Xr","Carbamazepine","Tegretol-Xr",TRUE
20235,1,"Capsule; Oral","100MG","Prescription","AB",0,"Neurontin","Gabapentin","Tegretol-Xr",TRUE
20235,2,"Capsule; Oral","300MG","Prescription","AB",0,"Neurontin","Gabapentin","Neurontin",TRUE
20235,3,"Capsule; Oral","400MG","Prescription","AB",1,"Neurontin","Gabapentin","Neurontin",TRUE
20236,1,"Aerosol, Metered; Inhalation","EQ 0.021MG BASE/INH","Discontinued",,0,"Serevent","Salmeterol Xinafoate","Neurontin",TRUE
20237,1,"Tablet; Oral","5MG","Prescription","AB",0,"Salagen","Pilocarpine Hydrochloride","Serevent",TRUE
20237,2,"Tablet; Oral","7.5MG","Prescription","AB",1,"Salagen","Pilocarpine Hydrochloride","Salagen",TRUE
20238,1,"Tablet; Oral","100MG","Discontinued",,0,"Tagamet Hb","Cimetidine","Salagen",TRUE
20238,2,"Tablet; Oral","200MG","Over The Counter",,1,"Tagamet Hb","Cimetidine","Tagamet Hb",TRUE
20239,1,"Injectable; Injection","EQ 3MG BASE/ML","Discontinued",,0,"Kytril","Granisetron Hydrochloride","Tagamet Hb",TRUE
20239,2,"Injectable; Injection","EQ 4MG BASE/4ML (EQ 1MG BASE/ML)","Discontinued",,0,"Kytril","Granisetron Hydrochloride","Kytril",TRUE
20239,3,"Injectable; Injection","EQ 0.1MG BASE/ML (EQ 0.1MG BASE/ML)","Discontinued",,0,"Kytril","Granisetron Hydrochloride","Kytril",TRUE
20239,4,"Injectable; Injection","EQ 1MG BASE/ML (EQ 1MG BASE/ML)","Discontinued",,0,"Kytril","Granisetron Hydrochloride","Kytril",TRUE
20240,1,"Tablet; Oral","3MG","Discontinued",,0,"Renormax","Spirapril Hydrochloride","Kytril",TRUE
20240,2,"Tablet; Oral","6MG","Discontinued",,0,"Renormax","Spirapril Hydrochloride","Renormax",TRUE
20240,3,"Tablet; Oral","12MG","Discontinued",,0,"Renormax","Spirapril Hydrochloride","Renormax",TRUE
20240,4,"Tablet; Oral","24MG","Discontinued",,0,"Renormax","Spirapril Hydrochloride","Renormax",TRUE
20241,1,"Tablet; Oral","100MG","Prescription","AB",0,"Lamictal","Lamotrigine","Renormax",TRUE
20241,2,"Tablet; Oral","150MG","Prescription","AB",0,"Lamictal","Lamotrigine","Lamictal",TRUE
20241,3,"Tablet; Oral","200MG","Prescription","AB",0,"Lamictal","Lamotrigine","Lamictal",TRUE
20241,4,"Tablet; Oral","250MG","Discontinued",,0,"Lamictal","Lamotrigine","Lamictal",TRUE
20241,5,"Tablet; Oral","25MG","Prescription","AB",1,"Lamictal","Lamotrigine","Lamictal",TRUE
20241,6,"Tablet; Oral","50MG","Discontinued",,0,"Lamictal","Lamotrigine","Lamictal",TRUE
20243,1,"Tablet; Oral","25MG","Discontinued",,0,"Luvox","Fluvoxamine Maleate","Lamictal",TRUE
20243,2,"Tablet; Oral","50MG","Discontinued",,0,"Luvox","Fluvoxamine Maleate","Luvox",TRUE
20243,3,"Tablet; Oral","100MG","Discontinued",,0,"Luvox","Fluvoxamine Maleate","Luvox",TRUE
20243,4,"Tablet; Oral","150MG","Discontinued",,0,"Luvox","Fluvoxamine Maleate","Luvox",TRUE
20246,1,"Injectable; Injection","150MG/ML","Prescription","AB",1,"Depo-Provera","Medroxyprogesterone Acetate","Luvox",TRUE
20248,1,"Injectable; Injection",20.00%,"Prescription","AP",1,"Intralipid 20%","Soybean Oil","Depo-Provera",TRUE
20249,1,"Injectable; Injection","0.4MG/ML","Prescription","AP",1,"Pepcid Preservative Free In Plastic Container","Famotidine","Intralipid 20%",TRUE
20250,1,"Tablet; Oral","250MG","Discontinued",,0,"Halfan","Halofantrine Hydrochloride","Pepcid Preservative Free In Plastic Container",TRUE
20251,1,"Tablet, Effervescent; Oral","EQ 150MG BASE","Discontinued",,0,"Zantac 150","Ranitidine Hydrochloride","Halfan",TRUE
20251,2,"Granule, Effervescent; Oral","EQ 150MG BASE/PACKET","Discontinued",,0,"Zantac 150","Ranitidine Hydrochloride","Zantac 150",TRUE
20251,3,"Tablet, Effervescent; Oral","EQ 25MG BASE","Prescription",,1,"Zantac 25","Ranitidine Hydrochloride","Zantac 150",TRUE
20254,1,"Tablet, Extended Release; Oral","100MG","Prescription","AB",1,"Voltaren-Xr","Diclofenac Sodium","Zantac 25",TRUE
20255,1,"Injectable; Injection","EQ 50MG BASE/100ML","Prescription","AP",1,"Dobutamine Hydrochloride In Dextrose 5% In Plastic Container","Dobutamine Hydrochloride","Voltaren-Xr",TRUE
20255,3,"Injectable; Injection","EQ 100MG BASE/100ML","Prescription","AP",1,"Dobutamine Hydrochloride In Dextrose 5% In Plastic Container","Dobutamine Hydrochloride","Dobutamine Hydrochloride In Dextrose 5% In Plastic Container",TRUE
20255,4,"Injectable; Injection","EQ 200MG BASE/100ML","Prescription","AP",1,"Dobutamine Hydrochloride In Dextrose 5% In Plastic Container","Dobutamine Hydrochloride","Dobutamine Hydrochloride In Dextrose 5% In Plastic Container",TRUE
20255,5,"Injectable; Injection","EQ 400MG BASE/100ML","Prescription","AP",1,"Dobutamine Hydrochloride In Dextrose 5% In Plastic Container","Dobutamine Hydrochloride","Dobutamine Hydrochloride In Dextrose 5% In Plastic Container",TRUE
20256,1,"Injectable; Injection","N/A","Prescription",,0,"Neurolite","Technetium Tc-99M Bicisate Kit","Dobutamine Hydrochloride In Dextrose 5% In Plastic Container",TRUE
20258,1,"Solution/Drops; Ophthalmic","EQ 0.5% BASE","Prescription","AT",1,"Iopidine","Apraclonidine Hydrochloride","Neurolite",TRUE
20259,1,"Tablet; Oral","250MG **Federal Register determination that product was not discontinued or withdrawn for safety of efficacy reasons**","Discontinued",,0,"Mepron","Atovaquone","Iopidine",TRUE
20261,1,"Capsule; Oral","EQ 20MG BASE","Prescription",,0,"Lescol","Fluvastatin Sodium","Mepron",TRUE
20261,2,"Capsule; Oral","EQ 40MG BASE","Prescription",,1,"Lescol","Fluvastatin Sodium","Lescol",TRUE
20262,1,"Injectable; Injection","6MG/ML","Discontinued",,0,"Taxol","Paclitaxel","Lescol",TRUE
20263,2,"Injectable; Injection","7.5MG/VIAL","Prescription",,1,"Lupron Depot-Ped","Leuprolide Acetate","Taxol",TRUE
20263,3,"Injectable; Injection","3.75MG/VIAL,7.5MG/VIAL","Discontinued",,0,"Lupron Depot-Ped","Leuprolide Acetate","Lupron Depot-Ped",TRUE
20263,4,"Injectable; Injection","7.5MG/VIAL,7.5MG/VIAL","Discontinued",,0,"Lupron Depot-Ped","Leuprolide Acetate","Lupron Depot-Ped",TRUE
20263,5,"Injectable; Injection","11.25MG/VIAL","Prescription",,1,"Lupron Depot-Ped","Leuprolide Acetate","Lupron Depot-Ped",TRUE
20263,6,"Injectable; Injection","15MG/VIAL","Prescription",,1,"Lupron Depot-Ped","Leuprolide Acetate","Lupron Depot-Ped",TRUE
20264,1,"Suspension; Oral","40MG/ML","Prescription","AB",1,"Megace","Megestrol Acetate","Lupron Depot-Ped",TRUE
20267,2,"Tablet; Oral","100MG","Over The Counter",,0,"Junior Strength Advil","Ibuprofen","Megace",TRUE
20269,1,"Injectable; Injection","EQ 50MG BASE/100ML","Prescription","AP",1,"Dobutamine Hydrochloride In Dextrose 5%","Dobutamine Hydrochloride","Junior Strength Advil",TRUE
20269,2,"Injectable; Injection","EQ 100MG BASE/100ML","Prescription","AP",1,"Dobutamine Hydrochloride In Dextrose 5%","Dobutamine Hydrochloride","Dobutamine Hydrochloride In Dextrose 5%",TRUE
20269,3,"Injectable; Injection","EQ 200MG BASE/100ML","Prescription","AP",1,"Dobutamine Hydrochloride In Dextrose 5%","Dobutamine Hydrochloride","Dobutamine Hydrochloride In Dextrose 5%",TRUE
20272,1,"Tablet; Oral","1MG","Prescription","AB",1,"Risperdal","Risperidone","Dobutamine Hydrochloride In Dextrose 5%",TRUE
20272,2,"Tablet; Oral","2MG","Prescription","AB",0,"Risperdal","Risperidone","Risperdal",TRUE
20272,3,"Tablet; Oral","3MG","Prescription","AB",0,"Risperdal","Risperidone","Risperdal",TRUE
20272,4,"Tablet; Oral","4MG","Prescription","AB",0,"Risperdal","Risperidone","Risperdal",TRUE
20272,5,"Tablet; Oral","5MG","Discontinued",,0,"Risperdal","Risperidone","Risperdal",TRUE
20272,7,"Tablet; Oral","0.5MG","Prescription","AB",0,"Risperdal","Risperidone","Risperdal",TRUE
20272,8,"Tablet; Oral","0.25MG","Prescription","AB",0,"Risperdal","Risperidone","Risperdal",TRUE
20273,1,"Ointment; Topical",0.01%,"Discontinued",,0,"Dovonex","Calcipotriene","Risperdal",TRUE
20279,1,"Cream; Topical",0.10%,"Prescription","AB",1,"Dermatop E Emollient","Prednicarbate","Dovonex",TRUE
20280,1,"Injectable; Injection","0.2MG/VIAL","Prescription",,0,"Genotropin Preservative Free","Somatropin Recombinant","Dermatop E Emollient",TRUE
20280,2,"Injectable; Injection","0.4MG/VIAL","Prescription",,0,"Genotropin Preservative Free","Somatropin Recombinant","Genotropin Preservative Free",TRUE
20280,3,"Injectable; Injection","0.6MG/VIAL","Prescription",,0,"Genotropin Preservative Free","Somatropin Recombinant","Genotropin Preservative Free",TRUE
20280,4,"Injectable; Injection","1.5MG/VIAL","Prescription","BX",0,"Genotropin Preservative Free","Somatropin Recombinant","Genotropin Preservative Free",TRUE
20280,5,"Injectable; Injection","0.8MG/VIAL","Prescription",,0,"Genotropin Preservative Free","Somatropin Recombinant","Genotropin Preservative Free",TRUE
20280,6,"Injectable; Injection","5.8MG/VIAL","Prescription","BX",1,"Genotropin","Somatropin Recombinant","Genotropin Preservative Free",TRUE
20280,7,"Injectable; Injection","13.8MG/VIAL","Prescription",,1,"Genotropin","Somatropin Recombinant","Genotropin",TRUE
20280,8,"Injectable; Injection","1MG/VIAL","Prescription",,0,"Genotropin Preservative Free","Somatropin Recombinant","Genotropin",TRUE
20280,9,"Injectable; Injection","1.2MG/VIAL","Prescription",,0,"Genotropin Preservative Free","Somatropin Recombinant","Genotropin Preservative Free",TRUE
20280,10,"Injectable; Injection","1.4MG/VIAL","Prescription",,0,"Genotropin Preservative Free","Somatropin Recombinant","Genotropin Preservative Free",TRUE
20280,11,"Injectable; Injection","1.6MG/VIAL","Prescription",,0,"Genotropin Preservative Free","Somatropin Recombinant","Genotropin Preservative Free",TRUE
20280,12,"Injectable; Injection","1.8MG/VIAL","Prescription",,0,"Genotropin Preservative Free","Somatropin Recombinant","Genotropin Preservative Free",TRUE
20280,13,"Injectable; Injection","2MG/VIAL","Prescription",,1,"Genotropin Preservative Free","Somatropin Recombinant","Genotropin Preservative Free",TRUE
20281,1,"Tablet; Oral","100MG","Discontinued",,0,"Ultram","Tramadol Hydrochloride","Genotropin Preservative Free",TRUE
20281,2,"Tablet; Oral","50MG","Prescription","AB",1,"Ultram","Tramadol Hydrochloride","Ultram",TRUE
20286,1,"Tablet; Oral","20MG;12.5MG","Discontinued",,0,"Monopril-Hct","Fosinopril Sodium; Hydrochlorothiazide","Ultram",TRUE
20286,2,"Tablet; Oral","10MG;12.5MG","Discontinued",,0,"Monopril-Hct","Fosinopril Sodium; Hydrochlorothiazide","Monopril-Hct",TRUE
20287,1,"Injectable; Subcutaneous","2,500IU/0.2ML (12,500IU/ML)","Prescription",,0,"Fragmin","Dalteparin Sodium","Monopril-Hct",TRUE
20287,2,"Injectable; Subcutaneous","10,000IU/0.4ML (25,000IU/ML)","Prescription",,0,"Fragmin","Dalteparin Sodium","Fragmin",TRUE
20287,3,"Injectable; Subcutaneous","5,000IU/0.2ML (25,000IU/ML)","Prescription",,0,"Fragmin","Dalteparin Sodium","Fragmin",TRUE
20287,4,"Injectable; Subcutaneous","10,000IU/ML (10,000IU/ML)","Prescription",,0,"Fragmin","Dalteparin Sodium","Fragmin",TRUE
20287,5,"Injectable; Subcutaneous","7,500IU/0.3ML (25,000IU/ML)","Prescription",,0,"Fragmin","Dalteparin Sodium","Fragmin",TRUE
20287,6,"Injectable; Subcutaneous","95,000IU/3.8ML (25,000IU/ML)","Prescription",,1,"Fragmin","Dalteparin Sodium","Fragmin",TRUE
20287,7,"Injectable; Subcutaneous","95,000IU/9.5ML (10,000IU/ML)","Prescription",,0,"Fragmin","Dalteparin Sodium","Fragmin",TRUE
20287,8,"Injectable; Injection","7,500 IU/0.75ML","Discontinued",,0,"Fragmin","Dalteparin Sodium","Fragmin",TRUE
20287,9,"Injectable; Subcutaneous","12,500IU/0.5ML (25,000IU/ML)","Prescription",,0,"Fragmin","Dalteparin Sodium","Fragmin",TRUE
20287,10,"Injectable; Subcutaneous","15,000IU/0.6ML (25,000IU/ML)","Prescription",,0,"Fragmin","Dalteparin Sodium","Fragmin",TRUE
20287,11,"Injectable; Subcutaneous","18,000IU/0.72ML (25,000IU/ML)","Prescription",,0,"Fragmin","Dalteparin Sodium","Fragmin",TRUE
20288,2,"Cream, Suppository; Topical, Vaginal","2%,100MG","Over The Counter",,1,"Monistat 7 Combination Pack","Miconazole Nitrate","Fragmin",TRUE
20289,2,"Cream, Tablet; Topical, Vaginal","1%,100MG","Over The Counter",,1,"Gyne-Lotrimin Combination Pack","Clotrimazole","Monistat 7 Combination Pack",TRUE
20291,1,"Aerosol, Metered; Inhalation","EQ 0.09MG BASE/INH;0.018MG/INH","Prescription",,1,"Combivent","Albuterol Sulfate; Ipratropium Bromide","Gyne-Lotrimin Combination Pack",TRUE
20292,1,"For Solution; Oral","600MG/PACKET","Discontinued",,0,"Ferriseltz","Ferric Ammonium Citrate","Combivent",TRUE
20297,1,"Tablet; Oral","25MG","Prescription","AB",0,"Coreg","Carvedilol","Ferriseltz",TRUE
20297,2,"Tablet; Oral","12.5MG","Prescription","AB",1,"Coreg","Carvedilol","Coreg",TRUE
20297,3,"Tablet; Oral","6.25MG","Prescription","AB",0,"Coreg","Carvedilol","Coreg",TRUE
20297,4,"Tablet; Oral","3.125MG","Prescription","AB",0,"Coreg","Carvedilol","Coreg",TRUE
20298,1,"Injectable; Injection","EQ 500MG BASE/VIAL","Prescription","AP",1,"Aloprim","Allopurinol Sodium","Coreg",TRUE
20301,1,"Tablet; Oral-21","0.15MG;0.03MG","Discontinued",,0,"Ortho-Cept","Desogestrel; Ethinyl Estradiol","Aloprim",TRUE
20301,2,"Tablet; Oral-28","0.15MG;0.03MG","Prescription","AB",1,"Ortho-Cept","Desogestrel; Ethinyl Estradiol","Ortho-Cept",TRUE
20303,1,"Tablet; Oral-28","0.625MG,0.625MG;2.5MG,2.5MG","Discontinued",,0,"Prempro (Premarin;Cycrin)","Estrogens, Conjugated; Medroxyprogesterone Acetate","Ortho-Cept",TRUE
20303,2,"Tablet; Oral-28","0.625MG,0.625MG;N/A,5MG","Discontinued",,0,"Premphase (Premarin;Cycrin 14/14)","Estrogens, Conjugated; Medroxyprogesterone Acetate","Prempro (Premarin;Cycrin)",TRUE
20304,1,"Injectable; Injection","10,000KIU/ML","Prescription",,1,"Trasylol","Aprotinin","Premphase (Premarin;Cycrin 14/14)",TRUE
20305,1,"Tablet; Oral","EQ 1MG BASE","Discontinued",,0,"Kytril","Granisetron Hydrochloride","Trasylol",TRUE
20305,2,"Tablet; Oral","EQ 2MG BASE","Discontinued",,0,"Kytril","Granisetron Hydrochloride","Kytril",TRUE
20306,1,"Injectable; Injection","4-40mCi/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**","Discontinued",,0,"Fludeoxyglucose F 18","Fludeoxyglucose F-18","Kytril",TRUE
20306,2,"Injectable; Injection","4-90mCi/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**","Discontinued",,0,"Fludeoxyglucose F 18","Fludeoxyglucose F-18","Fludeoxyglucose F 18",TRUE
20309,1,"Injectable; Injection","4GM/100ML (40MG/ML)","Prescription",,1,"Magnesium Sulfate In Plastic Container","Magnesium Sulfate","Fludeoxyglucose F 18",TRUE
20309,2,"Injectable; Injection","4GM/50ML (80MG/ML)","Prescription",,1,"Magnesium Sulfate In Plastic Container","Magnesium Sulfate","Magnesium Sulfate In Plastic Container",TRUE
20309,3,"Injectable; Injection","2GM/50ML (40MG/ML)","Prescription",,0,"Magnesium Sulfate In Plastic Container","Magnesium Sulfate","Magnesium Sulfate In Plastic Container",TRUE
20310,1,"Shampoo; Topical",1.00%,"Over The Counter",,1,"Nizoral A-D","Ketoconazole","Magnesium Sulfate In Plastic Container",TRUE
20312,1,"Tablet; Oral","7.5MG","Prescription","AB",0,"Univasc","Moexipril Hydrochloride","Nizoral A-D",TRUE
20312,2,"Tablet; Oral","15MG","Prescription","AB",1,"Univasc","Moexipril Hydrochloride","Univasc",TRUE
20313,2,"Spray, Metered; Nasal","200 IU/SPRAY","Prescription","AB",1,"Miacalcin","Calcitonin Salmon","Univasc",TRUE
20314,1,"Injectable; Injection","3mCi/ML","Prescription",,1,"Octreoscan","Indium In-111 Pentetreotide Kit","Miacalcin",TRUE
20315,1,"Concentrate; Oral","10MG/ML","Discontinued",,0,"Orlaam","Levomethadyl Acetate Hydrochloride","Octreoscan",TRUE
20316,1,"Injectable; Injection",62.00%,"Prescription",,0,"Oxilan-300","Ioxilan","Orlaam",TRUE
20316,2,"Injectable; Injection",73.00%,"Prescription",,0,"Oxilan-350","Ioxilan","Oxilan-300",TRUE
20323,1,"Film, Extended Release; Transdermal","0.0375MG/24HR","Discontinued",,0,"Vivelle","Estradiol","Oxilan-350",TRUE
20323,2,"Film, Extended Release; Transdermal","0.05MG/24HR","Prescription","AB1",0,"Vivelle","Estradiol","Vivelle",TRUE
20323,3,"Film, Extended Release; Transdermal","0.075MG/24HR","Discontinued",,0,"Vivelle","Estradiol","Vivelle",TRUE
20323,4,"Film, Extended Release; Transdermal","0.1MG/24HR","Prescription","AB1",0,"Vivelle","Estradiol","Vivelle",TRUE
20323,5,"Film, Extended Release; Transdermal","0.025MG/24HR","Discontinued",,0,"Vivelle","Estradiol","Vivelle",TRUE
20325,1,"Tablet; Oral","10MG","Over The Counter",,0,"Pepcid Ac","Famotidine","Vivelle",TRUE
20325,2,"Tablet; Oral","20MG","Over The Counter",,1,"Pepcid Ac","Famotidine","Pepcid Ac",TRUE
20326,1,"Injectable; Injection","EQ 25MG BASE/VIAL","Discontinued",,0,"Neutrexin","Trimetrexate Glucuronate","Pepcid Ac",TRUE
20326,2,"Injectable; Injection","EQ 200MG BASE/VIAL","Discontinued",,0,"Neutrexin","Trimetrexate Glucuronate","Neutrexin",TRUE
20327,1,"Injectable; Injection",41.00%,"Discontinued",,0,"Isovue-200","Iopamidol","Neutrexin",TRUE
20327,2,"Injectable; Injection",51.00%,"Prescription","AP",1,"Isovue-250","Iopamidol","Isovue-200",TRUE
20327,3,"Injectable; Injection",61.00%,"Prescription","AP",1,"Isovue-300","Iopamidol","Isovue-250",TRUE
20327,4,"Injectable; Injection",76.00%,"Prescription","AP",1,"Isovue-370","Iopamidol","Isovue-300",TRUE
20328,1,"Injectable; Injection","75 IU/VIAL;75 IU/VIAL","Discontinued",,0,"Humegon","Menotropins (Fsh;Lh)","Isovue-370",TRUE
20328,2,"Injectable; Injection","150 IU/VIAL;150 IU/VIAL","Discontinued",,0,"Humegon","Menotropins (Fsh;Lh)","Humegon",TRUE
20329,1,"Tablet, Extended Release; Oral","5MG","Prescription","AB",0,"Glucotrol Xl","Glipizide","Humegon",TRUE
20329,2,"Tablet, Extended Release; Oral","10MG","Prescription","AB",1,"Glucotrol Xl","Glipizide","Glucotrol Xl",TRUE
20329,3,"Tablet, Extended Release; Oral","2.5MG","Prescription","AB",0,"Glucotrol Xl","Glipizide","Glucotrol Xl",TRUE
20330,1,"Solution, Gel Forming/Drops; Ophthalmic","EQ 0.25% BASE","Prescription","AB",1,"Timoptic-Xe","Timolol Maleate","Glucotrol Xl",TRUE
20330,2,"Solution, Gel Forming/Drops; Ophthalmic","EQ 0.5% BASE","Prescription","AB",1,"Timoptic-Xe","Timolol Maleate","Timoptic-Xe",TRUE
20333,1,"Capsule; Oral","EQ 0.5MG BASE","Prescription","AB",0,"Agrylin","Anagrelide Hydrochloride","Timoptic-Xe",TRUE
20333,2,"Capsule; Oral","EQ 1MG BASE","Discontinued",,0,"Agrylin","Anagrelide Hydrochloride","Agrylin",TRUE
20334,1,"Capsule; Oral","375MG","Prescription","AB",1,"Flagyl","Metronidazole","Agrylin",TRUE
20336,1,"Tablet, Extended Release; Oral","5MG","Prescription",,0,"Dynacirc Cr","Isradipine","Flagyl",TRUE
20336,2,"Tablet, Extended Release; Oral","10MG","Prescription",,1,"Dynacirc Cr","Isradipine","Dynacirc Cr",TRUE
20337,1,"Gel; Topical",0.05%,"Prescription","AB",1,"Temovate","Clobetasol Propionate","Dynacirc Cr",TRUE
20338,1,"Solution; Topical",0.10%,"Discontinued",,0,"Differin","Adapalene","Temovate",TRUE
20340,1,"Cream; Topical",0.05%,"Prescription","AB2",1,"Temovate E","Clobetasol Propionate","Differin",TRUE
20343,1,"Injectable; Injection","EQ 10MG BASE/100ML","Discontinued",,0,"Primacor In Dextrose 5% In Plastic Container","Milrinone Lactate","Temovate E",TRUE
20343,2,"Injectable; Injection","EQ 15MG BASE/100ML","Discontinued",,0,"Primacor In Dextrose 5% In Plastic Container","Milrinone Lactate","Primacor In Dextrose 5% In Plastic Container",TRUE
20343,3,"Injectable; Injection","EQ 20MG BASE/100ML (EQ 0.2MG BASE/ML)","Discontinued",,0,"Primacor In Dextrose 5% In Plastic Container","Milrinone Lactate","Primacor In Dextrose 5% In Plastic Container",TRUE
20343,4,"Injectable; Injection","EQ 40MG BASE/200ML (EQ 0.2MG BASE/ML)","Discontinued",,0,"Primacor In Dextrose 5% In Plastic Container","Milrinone Lactate","Primacor In Dextrose 5% In Plastic Container",TRUE
20345,1,"Injectable; Injection","8% (8GM/100ML)","Prescription",,0,"Aminosyn-Hf 8%","Amino Acids","Primacor In Dextrose 5% In Plastic Container",TRUE
20346,1,"Syrup; Oral","5MG/5ML","Prescription","AA",1,"Zyrtec","Cetirizine Hydrochloride","Aminosyn-Hf 8%",TRUE
20347,1,"Capsule; Oral","EQ 1MG BASE","Prescription","AB",0,"Hytrin","Terazosin Hydrochloride","Zyrtec",TRUE
20347,2,"Capsule; Oral","EQ 2MG BASE","Prescription","AB",1,"Hytrin","Terazosin Hydrochloride","Hytrin",TRUE
20347,3,"Capsule; Oral","EQ 5MG BASE","Prescription","AB",0,"Hytrin","Terazosin Hydrochloride","Hytrin",TRUE
20347,4,"Capsule; Oral","EQ 10MG BASE","Prescription","AB",0,"Hytrin","Terazosin Hydrochloride","Hytrin",TRUE
20351,1,"Injectable; Injection",55.00%,"Prescription",,1,"Visipaque 270","Iodixanol","Hytrin",TRUE
20351,2,"Injectable; Injection",65.20%,"Prescription",,1,"Visipaque 320","Iodixanol","Visipaque 270",TRUE
20353,1,"Tablet, Extended Release; Oral","EQ 375MG BASE","Prescription",,0,"Naprelan","Naproxen Sodium","Visipaque 320",TRUE
20353,2,"Tablet, Extended Release; Oral","EQ 500MG BASE","Prescription",,0,"Naprelan","Naproxen Sodium","Naprelan",TRUE
